pc11_state_id,pc11_district_id,State,District,shrug_population,shrug_households,shrug_area,shrug_population_density,shrug_rail_dist,shrug_city_dist,shrug_city5_dist
1,1,Jammu Kashmir,Kupwara,104729,11999.0,47.34,2212.2729193071395,43.0,73.0,73.0
1,2,Jammu Kashmir,Badgam,78360,10743.0,43.68,1793.956043956044,3.0,15.0,14.0
1,3,Jammu Kashmir,Leh Ladakh,45671,7004.0,24.01,1902.1657642648895,456.0,460.0,460.0
1,4,Jammu Kashmir,Kargil,16338,2191.0,2.14,7634.579439252336,300.0,204.0,204.0
1,5,Jammu Kashmir,Punch,38630,7216.0,24.08,1604.2358803986713,204.0,204.0,204.0
1,6,Jammu Kashmir,Rajouri,52314,7756.0,21.89,2389.8583828232067,78.0,78.0,78.0
1,7,Jammu Kashmir,Kathua,89713,17932.0,42.42,2114.875058934465,4.0,55.0,55.0
1,8,Jammu Kashmir,Baramula,182500,27289.0,63.56,2871.302706104468,0.0,25.0,25.0
1,9,Jammu Kashmir,Bandipore,65361,9598.0,49.63,1316.965545033246,20.0,25.0,25.0
1,10,Jammu Kashmir,Srinagar,32649,4836.0,15.93,2049.5291902071563,3.0,3.0,3.0
1,11,Jammu Kashmir,Ganderbal,47039,6966.0,25.4,1851.9291338582677,28.0,18.0,18.0
1,12,Jammu Kashmir,Pulwama,80462,10654.0,38.55,2087.211413748379,0.0,15.0,15.0
1,13,Jammu Kashmir,Shupiyan,16360,2553.0,5.4,3029.6296296296296,40.0,67.0,52.0
1,14,Jammu Kashmir,Anantnag,132689,18450.0,60.53,2192.119610110689,1.0,10.0,60.0
1,15,Jammu Kashmir,Kulgam,80219,13737.0,49.57,1618.2973572725439,8.0,17.0,60.0
1,16,Jammu Kashmir,Doda,32689,6719.0,19.75,1655.139240506329,100.0,173.0,180.0
1,17,Jammu Kashmir,Ramban,11811,2162.0,15.080000000000002,783.2228116710875,0.0,107.0,107.0
1,18,Jammu Kashmir,Kishtwar,14865,2710.0,0.63,23595.238095238095,163.0,229.0,229.0
