station_code,total_schedule_rows,unique_trains_serving_station,outbound_routes,inbound_routes,route_connectivity,code,name,State,District,pc11_state_id,pc11_district_id,shrug_population,shrug_households,shrug_area,shrug_population_density,shrug_rail_dist,shrug_city_dist,shrug_city5_dist
AA,22,22,0.0,0.0,0.0,AA,ATARIA,Uttar Pradesh,Sitapur,9.0,154.0,530784.0,87109.0,106.67,4975.9445017343205,0.0,4.0,4.0
AABH,32,32,0.0,0.0,0.0,AABH,AMBIKA BHAWANI HALT,Bihar,Saran (chhapra),,,,,,,,,
AAG,73,73,0.0,0.0,0.0,AAG,ANGAR,Maharashtra,Solapur,27.0,526.0,1399091.0,279607.0,363.09,3853.289817951472,0.0,35.0,38.0
AAH,8,8,0.0,0.0,0.0,AAH,ITEHAR,Madhya Pradesh,Bhind,23.0,420.0,432922.0,72562.0,227.04,1906.809372797745,0.0,0.0,22.0
AAK,19,17,0.0,0.0,0.0,AAK,ANKAI KILA,Maharashtra,Nashik,27.0,516.0,2597373.0,545577.0,647.2099999999999,4013.184283308354,0.0,2.0,11.0
AAL,40,40,0.0,0.0,0.0,AAL,AMLAI,Madhya Pradesh,Shahdol,23.0,460.0,198923.0,41549.0,136.97,1452.3107249762722,0.0,55.0,170.0
AAM,14,14,0.0,0.0,0.0,AAM,Angadippuram,Kerala,Malappuram,32.0,592.0,1817211.0,345962.0,899.59,2020.043575406574,0.0,0.0,18.0
AAP,185,185,0.0,0.0,0.0,AAP,AMBIAPUR,Uttar Pradesh,Kanpur Dehat,9.0,163.0,173423.0,30984.0,80.86200000000001,2144.6785882120157,0.0,20.0,20.0
AAR,8,8,0.0,0.0,0.0,AAR,ADESAR,Gujarat,Kachchh,24.0,468.0,728535.0,159671.0,292.06,2494.4703143189754,0.0,2.0,160.0
AAS,53,51,0.0,0.0,0.0,AAS,ASRANADA,Rajasthan,Jodhpur,8.0,113.0,1264614.0,234790.0,229.0,5522.331877729258,0.0,7.0,7.0
AAV,4,4,0.0,0.0,0.0,,,,,,,,,,,,,
AAY,34,34,0.0,0.0,0.0,AAY,ARALVAYMOZHI,Tamil Nadu,Kanniyakumari,33.0,629.0,1539802.0,398061.0,662.8399999999999,2323.037233721562,0.0,0.0,10.0
AB,160,160,0.0,0.0,0.0,AB,AMBUR,Tamil Nadu,Vellore,33.0,605.0,1701987.0,392575.0,543.902,3129.2162926409533,0.0,0.0,70.0
ABB,182,182,0.0,0.0,0.0,ABB,ABADA,West Bengal,Haora,19.0,341.0,3074144.0,669902.0,431.5093,7124.1662694176,0.0,1.0,3.0
ABD,96,96,0.0,0.0,0.0,ABD,AMBLI ROAD,Gujarat,Ahmadabad,24.0,474.0,6007060.0,1269632.0,870.4899999999999,6900.780020448254,0.0,7.0,7.0
ABE,6,6,0.0,0.0,0.0,ABE,Ambikeshwar,Madhya Pradesh,Morena,23.0,419.0,470462.0,78105.0,68.75,6843.083636363636,0.0,0.0,19.0
ABEO,1,1,0.0,0.0,0.0,ABEO,Pattaravakkam,Tamil Nadu,Thiruvallur,33.0,602.0,2428395.0,615252.0,537.66,4516.599709853811,0.0,0.0,0.0
ABFC,86,84,0.0,0.0,0.0,ABFC,AMBARI FALAKATA,West Bengal,Jalpaiguri,19.0,328.0,1060351.0,243311.0,366.98,2889.3972423565315,0.0,1.0,7.0
ABGT,49,49,0.0,0.0,0.0,ABGT,ARBAGATTA HALT,Karnataka,Chitradurga,29.0,566.0,329533.0,73334.0,137.97,2388.439515836776,0.0,2.0,164.0
ABH,101,101,0.0,0.0,0.0,ABH,AMBARNATH,Maharashtra,Thane,27.0,517.0,8514678.0,1987566.0,1098.21,7753.232988226296,0.0,1.0,2.0
ABI,64,64,0.0,0.0,0.0,ABI,AMBATURAI,Tamil Nadu,Dindigul,33.0,612.0,808040.0,209803.0,562.79,1435.7753336057856,0.0,0.0,28.0
ABKA,22,22,0.0,0.0,0.0,ABKA,AMBIKA KALNA,West Bengal,Barddhaman,19.0,335.0,3074424.0,658449.0,922.59,3332.3838324716285,0.0,0.0,7.0
ABKP,8,8,4.0,4.0,8.0,ABKP,AMBIKAPUR,Chhattisgarh,Surguja,22.0,401.0,242921.0,49582.0,154.32,1574.1381544841888,0.0,25.0,250.0
ABLE,44,44,0.0,0.0,0.0,ABLE,AMBALE,Maharashtra,Pune,27.0,521.0,5751182.0,1371531.0,843.3100000000001,6819.772088555809,0.0,4.0,4.0
ABO,54,54,0.0,0.0,0.0,ABO,ASTHAL BOHAR,Haryana,Rohtak,6.0,82.0,446164.0,89538.0,105.98,4209.888658237403,0.0,4.0,55.0
ABP,54,54,0.0,0.0,0.0,ABP,AKBARPUR,Uttar Pradesh,Ambedkar Nagar,9.0,178.0,280730.0,43693.0,92.9184,3021.253056445225,0.0,11.0,48.0
ABR,60,60,0.0,0.0,0.0,ABR,ABU ROAD,Rajasthan,Sirohi,8.0,117.0,208654.0,42520.0,120.87,1726.2678911226938,0.0,51.0,75.0
ABS,25,25,1.0,1.0,2.0,ABS,ABOHAR,Punjab,Firozpur,3.0,43.0,552556.0,109027.0,138.58,3987.270890460384,0.0,5.0,65.0
