state,code,name,zone,address,geometry_type,coordinates
Rajasthan,BDHL,Badhal,NWR,"Kishangarh Renwal, Rajasthan",Point,"[75.4516454, 27.2520587]"
,XX-BECE,XX-BECE,,,,
,XX-BSPY,XX-BSPY,,,,
,YY-BPLC,YY-BPLC,,,,
Uttar Pradesh,KHH,KICHHA,NER,"Kichha, Uttar Pradesh",Point,"[79.519746, 28.913427000000002]"
Rajasthan,SRKN,Sherekan,NWR,"MDR 89, Rajasthan",Point,"[74.43499088287354, 29.55519806064484]"
Rajasthan,BKKA,Bhukarka,NWR,"Bhukarka, Rajasthan",Point,"[74.75103096105158, 29.238227312503696]"
Rajasthan,NHR,Nohar,NWR,"State Highway 36, Rajasthan",Point,"[74.77362781763077, 29.192562738768984]"
Tamil Nadu,PRGD,Perungudi,SR,"Chennai, Tamil Nadu",Point,"[80.231363, 12.975217]"
Haryana,KNNA,Khinaniyan,NWR,"State Highway 23, Haryana",Point,"[74.7179570607841, 29.345637263205944]"
,JKR,JAULKHERA,,,Point,"[78.216684, 21.838466]"
,BYS,BARSALI,,,Point,"[78.03136099999999, 21.909813]"
,GW,GIRWAR,,,Point,"[78.936311, 23.838185999999997]"
,DGD,DANGIDHAR,,,Point,"[79.019912, 23.871771000000003]"
Madhya Pradesh,DOD,DHODHAR,WR,"Dhodar, Madhya Pradesh",Point,"[75.10354600000001, 23.770740999999997]"
,GAJ,GANESHGANJ,,,Point,"[79.074633, 23.895862]"
West Bengal,JNM,Jayanagar Majilpur Halt,ER,"Jaynagar, West Bengal",Point,"[88.415324, 22.168635]"
Rajasthan,NSD,NASIRABAD,NWR,"Nasirabad, Rajasthan",Point,"[74.71699100000001, 26.294459999999997]"
,PHA,PATHARIA,,,Point,"[79.192899, 23.905726]"
Andhra Pradesh,NZB,NIZAMABAD,SCR,"Nizamabad, Andhra Pradesh",Point,"[78.103238, 18.679164999999998]"
,RJO,RAJENDRA PUL,,,Point,"[86.01054599999999, 25.387446999999998]"
