"state","station_count","log_station","pc11_state_id","pc11_pca_tot_p","log_pop","tri_mean"
"Andhra Pradesh",204,5.31811999384422,2,6864602,15.7418886202669,33.2913107288593
"Assam",194,5.26785815906333,3,27743338,17.1385062972627,4.34917769118616
"Bihar",210,5.34710753071747,4,1055450,13.8694777742342,4.92745463465394
"Chandigarh",2,0.693147180559945,5,10086292,16.126687832221,33.0049679159892
"Chhattisgarh",57,4.04305126783455,6,25351462,17.0483469589223,4.70158801666796
"Delhi NCT",28,3.3322045101752,7,16787941,16.6361713890144,5.21612931002564
"Goa",18,2.89037175789616,8,68548437,18.0430511628374,5.31469850679048
"Gujarat",422,6.04500531403601,9,199812341,19.112889189038,3.77382690035226
"Haryana",126,4.83628190695148,10,104099452,18.4608572694023,3.70389494916197
"Himachal Pradesh",52,3.95124371858143,11,610577,13.3221596907058,43.3692194177668
"Jammu and Kashmir",16,2.77258872223978,12,1383727,14.1402911413673,40.429863597477
"Jharkhand",66,4.18965474202643,13,1978502,14.4978505506739,29.9555455319801
"Karnataka",301,5.70711026474888,14,2855794,14.8648604709887,21.3441696932246
"Kerala",87,4.46590811865458,15,1097206,13.9082775064958,31.2642786998812
"Madhya Pradesh",316,5.75574221358691,16,3673917,15.1167689533207,11.4593489955795
"Maharashtra",378,5.93489419561959,17,2966889,14.9030244870463,19.244375545252
"Mizoram",1,0,18,31205576,17.2561073547603,6.6983646613785
"Nagaland",4,1.38629436111989,19,91167269,18.3282064980834,4.86791577554204
"Odisha",2,0.693147180559945,20,32988134,17.3116584790103,6.80598870526004
"Orissa",65,4.17438726989564,21,41969763,17.5524599884032,8.73671213926789
"Puducherry",3,1.09861228866811,22,25545198,17.0559599117446,7.65567050575182
"Punjab",212,5.35658627467201,23,72626809,18.1008446816041,5.93217822042662
"Rajasthan",451,6.11146733950268,24,60439692,17.9171565993929,5.13573707213376
"Tamil Nadu",253,5.53338948872752,25,243247,12.4018326669814,4.47464266264982
"Tripura",16,2.77258872223978,26,343709,12.7475506481221,9.11140209842165
"Uttar Pradesh",529,6.2709884318583,27,112374333,18.5373461152546,6.5032426352908
"Uttarakhand",37,3.61091791264422,28,84580777,18.2532175765353,6.75842529417496
"West Bengal",345,5.84354441703136,29,61095297,17.9279454490026,6.64106464928532
